idade,renda_mensal,valor_emprestimo,historico_atraso,score_credito,tempo_emprego_anos,emprestimos_anteriores,inadimplente
56,1787.11,27088.75,0,382,1,4,1
69,5406.93,12202.55,0,409,19,6,0
46,3487.3,16572.79,1,489,19,2,1
32,2155.49,21528.14,0,550,26,5,0
60,3706.85,5071.44,1,590,13,5,1
25,2836.9,2674.34,0,500,2,5,0
38,8374.28,4320.41,0,625,22,1,0
56,6763.28,23838.09,0,810,11,7,0
36,4984.05,11136.99,0,708,7,5,0
40,7959.89,32907.39,0,807,1,3,1
28,5154.74,11050.27,0,371,3,0,0
28,3277.43,16291.86,0,546,13,6,0
41,8046.25,25794.77,1,886,15,3,0
53,6077.82,29042.65,0,865,18,0,0
57,2925.51,29430.53,1,643,1,4,1
41,4619.32,23458.56,0,353,11,7,1
20,3248.76,22168.44,0,827,28,4,0
39,2234.4,19147.69,0,831,13,0,0
19,6852.36,20448.53,0,857,5,3,0
41,8818.83,11141.7,0,492,12,0,0
61,2202.86,9272.61,0,357,3,5,1
47,6125.94,14976.38,0,736,21,1,0
55,3698.71,13808.71,0,410,17,6,0
19,4025.75,11827.4,1,428,11,4,1
38,3815.21,19874.71,1,625,19,6,1
50,3272.02,21687.14,0,307,26,1,1
29,5097.04,15618.85,0,328,21,5,0
39,3338.1,25342.71,0,411,29,5,1
61,5540.91,7008.18,0,430,20,4,0
42,4899.52,13644.38,0,487,18,4,0
66,4522.1,9982.24,0,774,7,5,0
44,3184.87,1934.24,0,663,6,2,0
59,3846.46,14421.24,0,503,15,6,0
45,6510.78,14147.77,0,511,18,7,0
33,6001.83,25594.15,1,575,5,1,1
32,3044.89,19415.68,1,372,19,6,1
64,5198.66,7830.69,0,542,26,1,0
68,6502.77,27978.65,1,401,20,2,1
61,1661.19,23547.24,1,470,10,7,1
69,6086.72,19074.68,0,487,4,3,0
20,3674.75,13414.61,0,740,15,1,0
54,6141.2,8283.93,0,385,6,6,0
68,3473.48,12394.55,1,775,26,0,1
24,1390.24,22621.24,1,351,4,7,1
38,1744.92,28192.1,0,410,10,5,1
26,5096.17,25802.7,0,342,14,5,1
56,5519.45,11578.05,0,510,2,2,0
35,3191.37,7162.68,0,499,25,1,0
21,6277.18,15986.2,0,325,4,3,0
42,1676.96,2620.92,1,598,22,1,1
31,4867.84,17262.17,0,376,20,5,0
67,2577.97,13966.78,1,436,4,4,1
26,3696.33,11737.74,1,319,8,0,1
43,5094.8,3837.08,0,739,14,7,0
19,3279.17,18595.2,0,510,2,2,0
37,4230.89,11271.09,0,850,28,4,0
45,7012.59,6810.58,0,734,5,6,0
64,3846.22,1000.0,0,506,16,3,0
24,6671.38,14807.4,0,738,25,4,0
61,2740.59,27405.76,0,341,20,6,1
25,6059.61,26628.81,0,710,7,4,0
64,7883.14,11800.33,0,822,20,3,0
52,1000.0,10784.52,0,726,24,7,0
31,3406.21,18281.42,0,574,10,4,0
34,6154.14,8011.3,0,747,5,2,0
53,4593.91,17112.54,0,668,7,5,0
67,5742.29,20362.56,0,519,9,1,0
57,3792.03,23588.53,0,876,23,4,0
21,5173.18,14298.92,0,531,28,2,0
19,4688.65,13574.28,0,627,2,1,0
23,7335.56,8854.12,0,742,22,7,0
59,5508.84,9211.84,1,351,13,6,1
21,5675.21,13414.65,0,675,22,1,0
46,4176.25,17571.56,0,562,13,6,1
35,4024.79,21395.09,0,566,9,4,0
43,4134.88,9377.75,0,658,11,2,0
61,5788.9,25448.82,0,616,5,5,0
51,4158.03,13102.13,0,623,11,4,0
27,5579.55,14850.43,0,862,22,6,0
53,9150.8,9769.52,0,720,13,3,0
31,6742.25,1000.0,0,345,1,1,1
48,4347.95,21188.32,0,899,8,4,0
65,7402.43,20157.91,0,568,9,6,0
32,4183.85,13030.71,1,680,25,7,1
25,1000.0,15468.94,0,417,16,1,1
31,2983.83,18611.57,0,865,16,7,0
40,1258.42,4062.18,0,415,2,6,0
57,4296.97,11296.63,0,559,29,2,0
38,5036.84,20559.85,0,374,18,0,1
33,8352.87,6219.97,0,779,0,7,0
62,5653.85,17054.91,0,604,11,4,0
35,4561.8,5503.93,0,306,6,5,0
64,6658.81,18265.01,0,665,3,4,0
41,1000.0,14750.51,0,822,9,1,0
43,5471.23,3694.08,1,647,12,2,1
42,6541.73,23153.18,0,737,1,6,0
62,2042.83,9857.86,0,514,9,3,1
58,7287.51,9328.23,0,728,20,5,0
46,5676.99,16403.98,0,797,21,2,0
32,4169.42,23040.46,0,839,24,7,0
62,6265.56,7889.25,0,666,3,7,0
18,9541.39,15431.76,0,612,17,4,0
42,5363.73,18001.72,0,837,4,3,0
24,5496.44,19851.74,0,353,18,2,0
26,4081.28,16235.09,0,840,1,0,0
41,3300.31,12430.81,1,766,11,5,1
18,6660.67,9206.87,0,463,16,1,0
61,3287.83,15603.01,0,633,9,2,0
25,5143.13,7495.03,0,846,1,2,0
41,4044.69,1000.0,0,647,5,0,0
28,5957.96,18055.92,1,572,7,4,1
68,5667.32,21327.54,0,713,28,6,0
34,7075.08,1000.0,0,799,18,6,0
25,3979.97,7931.89,0,392,10,5,0
52,4460.25,19334.08,0,378,24,5,1
52,3042.47,29402.47,0,516,11,1,0
50,4111.41,15145.56,0,657,8,2,0
22,5754.6,9903.98,0,806,1,3,0
59,6513.98,13719.72,0,858,7,2,0
56,3155.67,24624.13,0,480,25,6,1
58,6739.21,10478.25,1,875,10,1,0
45,7711.28,9405.66,1,545,27,2,1
24,5826.87,11620.8,1,543,20,0,1
26,8753.59,8326.7,0,805,3,6,0
25,3452.42,15858.69,0,721,9,2,0
29,2510.69,26372.75,1,619,20,2,1
51,1442.56,17261.55,0,386,19,6,1
50,7992.09,13233.53,0,516,15,3,0
65,6308.73,12957.32,1,789,7,6,1
40,4888.83,4057.66,1,818,3,0,0
41,5559.94,21181.77,0,577,28,0,0
54,2749.02,14455.14,0,468,9,2,1
52,9891.5,13736.64,0,629,11,5,0
61,5258.44,37351.75,1,740,28,3,1
57,5218.79,17091.27,1,690,13,2,1
39,6451.53,9737.46,0,795,15,6,0
44,5962.02,12015.5,0,680,21,2,0
52,5447.77,23039.12,1,605,17,1,1
18,3419.05,15792.89,0,812,20,1,0
52,5942.94,4932.05,0,487,21,5,0
54,8764.05,21434.6,1,815,20,3,0
64,7690.84,10322.99,0,726,11,4,0
31,8186.37,28113.08,0,801,17,7,0
20,3977.57,22560.34,0,559,29,1,1
18,3020.79,11868.75,0,812,6,4,0
22,4748.43,23967.11,1,370,19,0,1
43,5111.45,15474.99,0,777,23,1,0
31,7188.38,20969.42,1,477,22,1,1
56,1615.07,18393.13,0,756,6,3,0
44,8059.1,9075.5,0,488,8,5,0
26,4683.98,10495.15,0,590,0,4,0
32,4146.24,22209.73,0,819,25,6,0
32,2975.79,12656.57,0,591,5,1,0
43,1690.29,12174.46,0,582,5,1,0
59,6646.34,8314.14,0,843,21,3,0
30,5146.64,17965.19,0,676,28,3,0
68,2420.08,29437.67,0,455,11,5,0
49,2409.84,7527.27,0,807,21,4,0
56,4328.43,15169.54,0,712,11,0,0
66,8338.04,24885.54,0,827,9,6,0
69,4480.82,14442.51,0,654,22,5,0
49,1993.71,18166.6,0,858,29,7,0
21,4508.51,7563.25,0,486,25,0,0
47,4454.55,17998.15,0,330,5,2,1
54,1000.0,13689.99,1,559,16,1,1
40,4891.41,21900.11,1,720,18,4,1
56,4538.13,23311.7,0,828,17,5,0
62,6392.41,33126.95,0,850,5,1,0
32,8697.91,19057.43,1,603,23,4,1
60,7253.13,17280.57,0,338,18,4,0
46,4462.22,16360.69,1,788,9,4,1
53,2786.95,12527.84,1,841,23,1,1
30,10146.72,17369.39,1,577,7,5,1
49,5118.44,12932.19,0,502,20,6,0
24,5027.86,16179.23,0,365,23,3,0
68,4951.75,24223.18,0,407,5,1,1
39,5396.17,7954.2,0,567,20,7,0
45,4711.28,22979.15,0,521,24,4,1
19,3852.68,24219.81,0,829,29,5,0
59,3906.28,14173.52,0,389,6,6,0
62,4934.49,1000.0,1,554,23,2,1
23,3913.15,10745.25,0,754,0,7,0
45,3574.31,24078.96,1,552,26,0,1
45,5212.86,14839.92,1,556,17,7,1
61,4490.05,8004.88,0,682,23,4,0
61,8007.99,11466.58,0,741,27,2,0
37,1000.0,20884.34,1,898,24,3,1
47,7183.01,18827.13,0,389,19,6,0
28,7492.17,13327.48,0,689,11,6,0
45,1000.0,12432.23,0,881,15,4,0
42,4314.62,12257.69,0,343,9,7,0
56,4257.12,8543.13,0,897,26,7,0
50,2184.98,26307.63,0,318,9,6,1
18,3444.37,12743.76,0,400,13,2,0
44,2778.85,23520.11,0,656,24,4,0
69,8504.54,25649.21,0,841,19,1,0
30,6871.36,21988.18,0,332,9,5,0
58,7543.11,11978.66,0,528,9,2,0
20,6443.34,17826.11,1,823,25,5,0
56,2741.9,14830.63,0,454,24,1,1
23,3950.96,8674.09,0,722,10,1,0
25,5978.75,17270.51,0,545,22,5,0
44,2555.74,6746.72,0,704,1,2,0
26,6426.0,23313.76,0,840,24,5,0
54,4519.35,11747.68,1,460,19,5,1
50,4250.36,16408.12,0,416,7,0,0
68,6421.92,16983.02,1,570,29,2,1
59,5888.53,13187.67,0,786,22,7,0
61,4278.07,19106.86,0,471,28,7,1
41,7318.66,11675.67,0,573,6,0,0
32,2837.87,21099.08,1,558,7,4,1
49,6231.87,5578.14,0,434,0,6,0
49,6186.2,15884.66,0,721,20,7,0
41,4380.91,28572.5,0,720,1,5,0
58,5652.27,7997.68,0,485,17,4,0
69,2497.77,10255.79,0,663,14,7,0
66,6848.05,18597.35,0,677,0,2,0
66,4630.2,16257.07,0,822,4,5,0
69,3954.55,17454.41,0,879,1,6,0
29,7098.02,18424.31,0,495,19,4,0
56,3591.31,19443.05,1,397,2,7,1
19,2183.08,22767.9,1,321,18,7,1
20,1886.74,17868.73,1,749,17,3,1
66,6212.02,13311.2,0,471,28,7,0
54,2439.14,19708.02,0,682,21,1,0
66,8509.59,28299.17,0,433,17,5,0
34,1000.0,14071.56,0,725,13,6,0
66,8392.91,8178.29,0,324,29,1,0
19,5422.03,22749.56,0,802,23,0,0
19,4806.57,14157.33,0,484,7,4,0
45,3910.16,1000.0,0,384,28,7,0
40,5798.27,20931.95,1,866,29,0,1
54,4924.73,11252.7,0,443,11,6,0
49,7206.6,14366.27,0,711,20,5,0
50,5228.46,17323.86,0,523,9,1,0
18,5300.6,16333.5,0,519,22,1,0
36,4272.78,19966.16,0,478,19,4,0
19,4886.11,11951.6,1,732,16,5,1
61,5615.6,18591.74,1,564,10,7,1
43,1579.66,13183.17,0,728,1,3,0
49,2303.63,20171.67,1,715,25,3,1
23,6486.53,19307.57,1,752,25,4,1
49,5341.73,8451.93,1,496,3,5,1
21,4632.03,22601.87,1,853,0,4,1
28,5036.87,11248.26,0,352,14,5,0
34,5695.16,20656.4,0,779,12,6,0
55,3920.48,17571.01,0,742,7,6,0
41,3443.39,27867.29,0,629,24,0,0
22,5391.69,13435.74,1,550,3,7,1
69,3043.25,12554.78,0,422,9,4,1
51,5816.51,14864.06,0,686,18,7,0
23,1594.83,12877.74,1,638,17,5,1
39,7058.31,20599.59,1,647,4,3,1
28,5945.19,3685.83,1,328,29,7,1
65,5512.06,7624.22,0,334,18,5,0
33,6965.38,7525.38,0,817,25,6,0
50,8330.95,21652.15,0,695,22,5,0
26,7028.74,26974.29,0,593,26,4,0
23,1318.25,14268.86,0,888,21,0,0
33,2440.85,13818.25,0,648,15,0,0
46,3750.36,15490.37,1,446,0,0,1
20,5052.18,23133.15,0,366,11,0,1
37,6035.32,8508.53,0,819,23,6,0
53,3548.51,16668.58,0,421,1,2,1
36,5373.53,21826.38,0,639,20,7,0
43,3489.23,18507.66,0,474,24,4,1
20,3776.96,16327.07,1,896,7,1,1
36,2186.68,22007.32,0,750,17,4,0
37,3153.53,1000.0,1,856,24,2,1
49,2296.63,19745.13,0,435,15,0,1
24,3048.25,10421.47,1,315,4,2,1
69,7107.28,2185.57,0,632,25,3,0
58,3101.2,18578.42,0,494,29,3,1
50,10264.76,24615.61,0,795,21,7,0
57,5986.64,14037.86,1,308,12,6,1
56,5369.67,21670.12,0,633,18,4,1
35,3283.28,26285.95,0,632,28,4,0
57,6400.62,24204.4,1,626,2,1,1
18,3848.72,26479.75,1,314,25,6,1
28,5244.02,20194.89,0,525,7,1,0
45,10120.17,15528.04,0,724,26,3,0
42,4807.88,3786.24,0,707,25,0,0
67,7298.55,13277.56,0,412,25,2,0
40,3593.65,9097.27,0,727,11,1,0
48,4930.02,30196.6,1,300,1,5,1
47,8541.6,13768.8,1,565,10,1,1
59,3746.07,15862.43,0,790,11,0,0
52,8624.9,18860.4,0,507,27,0,0
24,6415.5,15305.22,0,668,17,4,0
33,3875.07,26865.36,1,605,12,2,1
43,6264.82,10641.45,1,311,4,0,1
65,6945.11,16362.25,0,644,21,6,0
69,6243.62,9802.71,1,764,11,1,1
66,1859.55,5759.84,0,793,1,1,0
19,3545.73,10717.62,0,667,4,3,0
18,4504.96,14740.74,0,719,6,0,0
65,4851.13,11994.88,0,470,25,5,0
29,6241.34,10153.05,0,433,25,4,0
22,5355.4,5155.78,0,726,23,2,0
54,2329.31,14418.26,0,324,11,5,1
49,5760.4,4466.96,1,829,15,4,0
26,6221.17,20320.39,0,489,22,1,0
58,6119.58,15577.08,0,440,7,5,0
52,7161.56,4797.14,0,854,29,4,0
36,6667.84,12835.54,0,614,27,1,0
65,5918.36,9734.91,0,743,8,1,0
33,4859.67,17234.22,0,618,14,1,0
20,1678.08,24383.15,0,740,4,1,0
37,5859.24,1873.79,0,391,12,6,0
41,5415.38,15805.18,0,478,4,1,0
50,5543.16,13879.07,0,355,10,3,0
41,2446.5,19699.38,0,454,9,5,0
69,2837.89,16492.38,0,410,19,4,1
28,7106.31,9736.21,0,436,12,3,0
66,4920.89,12766.62,1,531,8,6,1
25,6363.0,9427.82,0,767,20,7,0
53,5056.64,22532.05,0,780,13,7,0
55,5059.51,15149.18,1,367,17,3,1
57,6876.57,28308.33,0,548,14,0,1
37,3967.91,14575.37,0,622,9,0,0
52,5192.24,10041.15,1,817,23,0,1
65,4075.45,4404.0,1,731,6,2,1
42,4131.01,2378.02,1,786,7,0,1
52,4381.66,3911.05,0,728,27,4,0
42,5444.27,16869.89,0,568,2,3,0
46,4042.5,18561.08,0,836,14,4,0
35,7511.51,3931.67,0,447,15,5,0
63,3210.79,21265.27,0,417,3,0,1
35,4626.26,11618.57,0,666,20,6,0
19,4120.54,16027.55,1,365,5,2,1
52,7893.96,26285.54,0,669,0,5,0
33,5393.11,21277.88,0,474,3,6,0
58,7063.69,13120.29,0,887,10,2,0
53,2028.88,8761.65,0,794,11,7,0
50,5534.1,1000.0,0,413,25,5,0
21,6779.26,9965.93,0,410,28,7,0
50,5164.57,13522.09,0,738,4,3,0
31,7130.96,8089.74,0,446,22,4,0
38,3965.42,14081.2,1,334,28,1,1
65,7818.69,15537.96,1,608,20,4,1
37,9597.8,13426.01,0,837,15,0,0
25,4274.32,10449.98,0,313,12,7,0
24,4108.99,16180.58,1,673,12,6,1
20,7906.77,18093.58,1,856,16,1,1
34,8159.14,7367.21,0,727,26,2,0
50,3954.28,24876.53,0,532,6,7,1
65,4159.63,14309.88,0,862,7,3,0
29,4436.43,15131.95,1,739,12,3,0
68,2311.1,19957.5,1,801,22,7,1
39,3162.7,16632.51,0,574,26,7,0
39,2991.72,21671.96,1,375,15,7,1
63,3464.4,17009.87,0,738,29,2,0
47,4930.63,10712.94,1,588,28,0,1
55,5468.43,17530.52,0,839,3,2,0
55,8101.0,6993.92,1,552,7,5,1
62,3003.29,15759.92,0,425,15,6,1
68,6968.64,14767.39,0,476,20,7,0
25,4572.02,13543.18,0,336,9,6,0
44,4901.07,14100.24,1,709,24,0,1
44,6349.64,1827.06,1,426,11,1,1
51,2754.56,11158.93,1,782,11,2,1
38,5764.82,15649.91,1,467,25,0,1
47,5332.9,16118.99,0,891,4,6,0
50,5984.9,7806.27,0,593,15,1,0
45,5578.34,23859.95,0,642,0,2,1
64,9910.6,8936.78,0,609,27,3,0
50,3724.52,21786.2,0,827,8,2,0
22,3938.01,17990.36,0,839,11,4,0
65,3753.72,10476.41,0,718,4,2,0
36,3889.05,27427.18,0,743,21,4,0
21,3725.23,6644.54,0,857,19,1,0
52,7378.03,21434.08,0,535,21,2,0
66,7841.01,22004.08,1,738,27,1,1
34,3858.51,10305.66,1,513,23,1,1
61,3335.29,24747.26,1,384,2,6,1
45,5942.83,13249.67,0,384,4,0,0
47,3895.55,17020.86,0,788,1,1,0
46,6265.86,16822.25,1,364,13,1,1
63,5405.85,14059.84,0,363,1,6,0
23,1968.51,20675.66,0,642,12,6,0
52,8095.01,20554.42,0,651,6,2,0
58,8591.76,2760.28,0,457,9,6,0
54,3774.42,24130.38,0,888,12,2,0
41,4224.6,3362.56,0,790,15,3,0
46,5571.73,22227.82,0,762,25,6,0
66,5668.91,22886.94,0,524,13,0,1
63,6317.09,7363.23,0,612,10,1,0
48,9020.41,12124.3,1,765,9,0,1
52,4646.11,7260.07,0,387,5,4,0
50,3403.41,13495.55,0,602,3,7,0
69,2241.36,12843.76,1,734,20,6,1
38,3538.14,20457.62,0,434,0,1,1
49,4933.75,24172.16,0,349,6,0,1
40,8589.12,24769.79,0,731,23,6,0
50,3964.78,11064.82,0,639,8,6,0
20,5447.58,13535.45,0,646,7,7,0
35,4967.15,3215.93,1,646,4,3,1
42,7376.79,9358.91,0,544,18,3,0
59,10053.86,21753.96,0,408,9,1,0
48,3938.26,26309.08,0,832,10,4,0
20,4021.12,6359.56,0,389,24,3,0
57,7088.32,10852.75,0,595,14,7,0
63,6363.78,14815.16,0,411,5,3,0
41,8693.41,16961.13,0,888,14,4,0
67,6167.86,9332.78,0,476,4,0,0
49,4281.42,17968.43,0,642,28,3,0
64,6181.31,11683.12,0,400,18,7,0
39,7217.41,14898.83,1,700,21,2,1
40,6640.96,18823.99,0,327,18,7,0
19,6014.55,15044.96,0,836,9,5,0
44,7133.35,11945.3,0,357,11,5,0
59,7338.59,14232.73,0,797,21,3,0
19,7764.32,14381.46,0,596,3,0,0
43,6297.42,12409.92,0,433,17,6,0
34,4665.76,13188.43,1,630,15,0,1
57,5293.43,26190.53,1,548,7,7,1
50,7413.02,18926.44,0,849,3,1,0
26,3366.13,12931.64,0,374,24,2,0
60,5737.35,19878.68,1,467,22,0,1
65,4213.32,12663.26,1,802,11,4,1
56,5057.49,23211.87,1,654,1,7,1
46,7556.9,17587.5,0,524,3,2,0
59,5382.2,14248.88,0,830,4,5,0
43,5092.87,18134.02,0,445,2,7,0
52,2280.29,4003.87,0,540,8,2,0
67,6492.51,7112.63,0,643,28,4,0
42,6290.97,6642.52,0,334,20,3,0
41,9326.51,16000.6,1,300,17,4,1
30,4384.44,27127.6,0,452,10,4,0
24,5438.3,30619.1,1,728,2,3,1
53,5498.77,19466.36,0,807,29,3,0
62,8154.91,18505.91,0,425,24,3,0
37,4809.41,2392.6,0,790,22,3,0
18,5558.04,11201.28,1,781,1,3,1
25,6215.79,9485.51,0,644,8,4,0
63,5373.22,10654.07,0,520,13,1,0
33,4107.13,13822.99,1,324,3,1,1
31,5388.18,11695.37,0,827,28,7,0
29,7147.26,1144.9,0,481,8,0,0
68,2946.97,20235.37,0,798,12,1,0
40,5265.94,7490.8,0,341,17,5,0
32,3599.76,16674.73,0,780,14,1,0
45,7390.09,29518.58,0,738,27,4,0
51,1953.63,8564.31,0,701,9,3,0
19,3882.16,1000.0,0,845,15,7,0
49,5754.42,12997.97,0,644,11,3,0
40,8131.05,22706.72,0,344,19,6,0
39,4868.5,28708.43,0,320,4,6,1
68,3889.6,6393.15,0,369,1,6,1
42,8762.31,18476.89,0,347,9,4,0
39,2103.97,11742.83,0,790,0,5,0
39,1000.0,14258.36,0,850,6,1,0
66,5880.03,33510.4,1,586,25,4,1
69,3995.89,4479.21,0,309,16,0,0
59,2957.53,16776.18,1,841,15,7,1
23,6416.71,18273.85,1,573,26,3,1
32,5487.6,22600.5,0,899,26,6,0
60,3871.84,15685.88,0,680,23,2,0
54,2439.39,17156.35,0,628,2,0,1
50,6744.91,12258.46,1,778,13,6,1
25,6300.4,16883.89,0,314,9,5,0
61,4801.65,12597.65,0,815,21,0,0
61,8693.27,19351.0,0,490,6,4,0
22,2859.83,12412.73,1,467,25,1,1
56,1948.95,17639.7,1,820,16,3,1
21,3616.18,14795.16,0,436,29,7,1
23,4908.83,22882.35,0,453,5,5,0
62,5486.68,14640.24,0,687,22,5,0
49,4517.53,2588.77,0,508,21,2,0
69,5704.11,23833.45,1,571,3,0,1
47,2496.92,8659.87,0,442,16,2,0
64,7887.53,10423.64,0,368,26,1,0
52,4835.7,10830.37,0,546,8,6,0
57,7234.59,24621.07,1,560,3,1,1
69,5685.45,1000.0,1,378,6,6,1
33,5913.51,36964.24,0,824,22,2,0
30,6139.53,22392.4,1,629,1,3,1
67,5895.42,16562.67,0,488,16,1,0
59,6285.45,14615.74,0,394,23,2,0
47,7658.31,16998.88,0,307,7,0,0
36,5393.04,18647.86,0,366,22,2,0
34,6418.01,19516.51,0,795,29,2,0
36,4820.53,18889.23,1,490,14,4,1
45,7880.23,15627.06,0,665,14,1,0
43,3647.22,13618.63,0,820,7,7,0
54,8601.88,13941.09,0,416,15,3,0
43,4919.68,13635.64,0,566,18,3,0
40,2138.45,22936.39,1,784,10,4,1
26,5256.21,19154.9,0,808,1,6,0
29,3637.9,1000.0,0,597,22,5,0
18,6681.29,19591.31,1,463,23,6,1
18,3694.75,16363.15,0,675,16,3,0
64,4107.63,14869.04,0,567,27,2,0
51,1220.92,12280.37,0,848,25,4,0
49,4095.39,22868.79,0,373,15,0,1
65,1000.0,21632.69,1,807,24,1,1
42,1832.19,9589.86,1,372,14,1,1
57,6520.83,17849.37,0,607,12,7,0
62,6571.6,8198.4,1,498,14,1,1
18,5850.92,5342.67,0,429,26,2,0
